name,price,happyHour,rating,numRatings,categories,lat,long,checkins,url,fs_url
Hilltop Tavern,$$,False,,,Bar,40.8940853167,-74.0767389536,535,,https://foursquare.com/v/hilltop-tavern/4bc3e56ab492d13ac376a960
Harley's Irish Pub,$$,True,,,Bar,40.88987955,-74.0384899,503,,https://foursquare.com/v/harleys-irish-pub/4c65d31d19f3c9b6c44e9eff
235th at Riverdale Ave.,$$$,False,,,Cocktail Bar,40.8851895318,-73.9073662617,67,,https://foursquare.com/v/235th-at-riverdale-ave/4ea44031dab4725270aeba49
The Punchbowl,$$,False,7.08,48,Bar,40.8849864193,-73.9006027871,463,,https://foursquare.com/v/the-punchbowl/4c12db67a5eb76b08301bfb7
Gleeson's Bar & Grill,$,True,7.12,83,Sports Bar,40.894064,-73.896677,751,,https://foursquare.com/v/gleesons-bar--grill/4b7dbc4df964a5205bd12fe3
Cue Lounge,$$,False,5.9,40,Bar,40.8863556974,-73.8568782806,579,,https://foursquare.com/v/cue-lounge/4e33512f227111ae768d89f2
Club Mystique,,False,,,Nightclub,40.8841492764,-73.8564760039,650,,https://foursquare.com/v/club-mystique/4bf0d45af45ec9282f44943c
Bronkers Tap House,$,False,7.07,21,Pub,40.907447183,-73.8725531126,331,,https://foursquare.com/v/bronkers-tap-house/514df8b1e4b01417e48ba81c
Jabba earthstrong party,,False,,,Bar,40.8848733889,-73.8537285833,3,,https://foursquare.com/v/jabba-earthstrong-party/4fd41cb3e4b0f961a803f76c
Irelands 32,$$,True,,,Bar,40.9067854584,-73.8720362949,238,,https://foursquare.com/v/irelands-32/51a672c0498ec3d7ab16234d
Behan's Pub,$$,False,6.35,26,Bar,40.8985583089,-73.8675341802,184,,https://foursquare.com/v/behans-pub/4b79d41ef964a520b9142fe3
Joe's American Bar & Grill,$$,False,7.19,390,American Restaurant,40.9192202006,-74.074716568,4789,,https://foursquare.com/v/joes-american-bar--grill/49cfec38f964a520e55a1fe3
Houlihan's,$$,False,7.75,830,American Restaurant,40.9199660469,-74.0666055679,7735,http://www.houlihans.com,https://foursquare.com/v/houlihans/4b5923ecf964a5209e7e28e3
Oak Ale House Restaurant & Sports Bar,$,True,6.46,224,Sports Bar,40.9039554973,-74.0622240377,2733,,https://foursquare.com/v/oak-ale-house-restaurant--sports-bar/4b80bfabf964a520e98930e3
The post,$$,False,,,Bar,40.8884431175,-73.9868796885,31,,https://foursquare.com/v/the-post/4e7423fad1643f93b15668b7
Stack's Tavern,$,False,,,Dive Bar,40.8828094292,-73.9022612572,66,,https://foursquare.com/v/stacks-tavern/4dfa7a3d1520879dfb8bb42e
Raine Lounge,$$$,False,6.46,48,Lounge,40.88037,-73.9031141996,838,http://raineloungenyc-hub.com,https://foursquare.com/v/raine-lounge/4d16c002bb64224b74edbb65
Riverdale City Grill,$$,True,,,Bar,40.8863234237,-73.9071193817,1675,,https://foursquare.com/v/riverdale-city-grill/4b09ae2af964a520871b23e3
Bottom Line Ale House,$$,True,6.1,89,Bar,40.8837665834,-73.8983345032,520,,https://foursquare.com/v/bottom-line-ale-house/4ba2d7b2f964a520811d38e3
Fenwick's Bar & Grill,$$,False,5.8,78,Bar,40.887145,-73.904555,1004,,https://foursquare.com/v/fenwicks-bar--grill/4b228503f964a520394824e3
Dan Rooney's Bar and Grill,$,False,5.27,34,Pub,40.9197907432,-73.8642092104,314,,https://foursquare.com/v/dan-rooneys-bar-and-grill/5137b53ce4b08fbb2ef5fdec
Donnie & Juniors,$,False,,,Dive Bar,40.8716307898,-74.0875482559,451,,https://foursquare.com/v/donnie--juniors/4b8c7598f964a520dbd132e3
Legal Sea Foods - Paramus,$$,False,7.81,185,Seafood Restaurant,40.9160864294,-74.0749879037,2432,http://www.legalseafoods.com/,https://foursquare.com/v/legal-sea-foods--paramus/4bfda0fe4cf820a1e6c0ecf4
Annie's Place,$$,False,,,Bar,40.9164242544,-74.0678574546,498,,https://foursquare.com/v/annies-place/4effaf7902d580f8efcdffb3
Bahama Breeze,$$,False,6.57,321,Caribbean Restaurant,40.9167477,-74.05872458,2921,http://www.bahamabreeze.com,https://foursquare.com/v/bahama-breeze/509f9fa2e4b0df8f7f8bf62b
Miller's Ale House,$$,False,8.08,1143,American Restaurant,40.9141738585,-74.0501248192,9754,http://www.millersalehouse.com,https://foursquare.com/v/millers-ale-house/501ec2b2e4b0abe6106743a7
スナックみゆき,,False,,,Lounge,40.8752571591,-74.0211367607,25,,https://foursquare.com/v/%E3%82%B9%E3%83%8A%E3%83%83%E3%82%AF%E3%81%BF%E3%82%86%E3%81%8D/50528374e4b0b914240ff910
Swainfest,$$,True,,,Wine Bar,40.8793735418,-73.9930777409,1,,https://foursquare.com/v/swainfest/518ebd1de4b056cde9a2bd11
Irish Eyes,$,False,,,Pub,40.8684829078,-73.9180755615,567,,https://foursquare.com/v/irish-eyes/4b84d39bf964a520ff4431e3
The Bridge Tavern,$,True,6.94,44,Sports Bar,40.8834907947,-73.901553154,382,,https://foursquare.com/v/the-bridge-tavern/4f17a65ca17c202e104c1aee
Escape Restaurant & Lounge,$$$,True,,,Lounge,40.8827100628,-73.881278336,20,,https://foursquare.com/v/escape-restaurant--lounge/52f0712a11d220b0752252c0
essence lounge,$$$,False,,,Lounge,40.8712937688,-73.8647088208,18,,https://foursquare.com/v/essence-lounge/50de8fb5e4b0c9707c455066
John Mulligans Fireside Pub,$,False,,,Pub,40.8978241682,-73.86709476,122,,https://foursquare.com/v/john-mulligans-fireside-pub/4c1dba9db9f876b01b2a7e46
Cue Lounge,,False,,,Other Nightlife,40.8739235793,-73.8549231159,156,,https://foursquare.com/v/cue-lounge/4f598cb2e4b0f78044c865d1
Sue's Rendezvous,,True,7.06,95,Strip Club,40.9139405838,-73.8373776914,935,,https://foursquare.com/v/sues-rendezvous/4c2af1fa8ef52d7f95a930ba
Tranquility Bar & Lounge,,False,,,Bar,40.8773939173,-73.845688272,2,,https://foursquare.com/v/tranquility-bar--lounge/53756c4f498ec2cf430b2ac8
Xpressions Night Club,$$,True,,,Bar,40.8796494883,-73.8440055082,231,,https://foursquare.com/v/xpressions-night-club/4c50ba87bd099521a94f555e
Lloyd's Backyard Oasis,,False,,,Bar,40.8696136475,-74.0820083618,7,,https://foursquare.com/v/lloyds-backyard-oasis/5232880611d2f0cf7f476a78
Johnny A's Players Club,,False,5.92,22,Strip Club,40.872698,-74.0490586167,203,,https://foursquare.com/v/johnny-as-players-club/4bcf5f96caff9521d20bcdf0
Feathers,$$,False,7.84,346,Gay Bar,40.910667298,-74.0359707952,3497,http://clubfeathers.com,https://foursquare.com/v/feathers/4bb41dcd9af3b71349078c28
Buddy's Place,$$,True,,,Bar,40.875965,-74.028547,454,,https://foursquare.com/v/buddys-place/4b89efe6f964a520625732e3
"Casa Hispaniola,  Fine Tobacconist",,False,,,Smoke Shop,40.896998,-73.971036,1238,http://www.casahispaniola.com,https://foursquare.com/v/casa-hispaniola--fine-tobacconist/4daf208d5da3cca6f0b83b68
The Liffy II Bar,$$,False,,,Bar,40.8691360319,-73.9171837908,436,,https://foursquare.com/v/the-liffy-ii-bar/4b2b1dfbf964a52083b424e3
Indian Road Café Pub Quiz,$,False,,,Pub,40.8729233817,-73.9185788732,243,http://pubquiz.indianroadcafe.com,https://foursquare.com/v/indian-road-caf%C3%A9-pub-quiz/5091c0d2e4b07ba8b08b7b29
Dubai Lounge,$$$,False,6.46,37,Lounge,40.8782315875,-73.9030659133,313,,https://foursquare.com/v/dubai-lounge/4c539fcf1b46c9b690f63ecd
Mr. McGoo's,$$,True,7.64,36,Bar,40.8793525328,-73.9043462672,380,,https://foursquare.com/v/mr-mcgoos/4c1c4501b9f876b005c37b46
The Heritage,$,True,6.8,73,Pub,40.90335705,-73.865926,885,,https://foursquare.com/v/the-heritage/4bb24ac935f0c9b6a913bb83
Mingles,$$$,False,,,Cocktail Bar,40.8841645042,-73.8324267854,396,http://ticketsus.at/yahooinc/343493.html,https://foursquare.com/v/mingles/4ba2a899f964a5206b0d38e3
Cjs,$$,False,,,Bar,40.8713357863,-73.8479166198,50,,https://foursquare.com/v/cjs/4e77fc51b0fb305db5a391a2
Sportsmen's Tavern,$,False,6.74,43,Dive Bar,40.8829275642,-74.1078315276,536,,https://foursquare.com/v/sportsmens-tavern-garfield-nj/4bd0dd5c9854d13aa4a4f84d
Napa Valley Wine Train,$$,True,,,Wine Bar,40.8664215134,-74.1057208978,10,,https://foursquare.com/v/napa-valley-wine-train/4fde20f3e4b070b1a5e12080
Maywood Inn's Twin Door Tavern,$$,False,6.97,65,American Restaurant,40.9056630681,-74.0647883532,691,,https://foursquare.com/v/maywood-inns-twin-door-tavern/4b7c8513f964a52075982fe3
TGI Fridays,$$,True,6.41,397,American Restaurant,40.90891341,-74.03354953,4457,http://tgifridays.com,https://foursquare.com/v/tgi-fridays/509d636d5d2463e871548040
Lenora's,$$,True,7.2,131,Bar,40.9055141418,-74.0407386446,1420,,https://foursquare.com/v/lenoras/4baec658f964a520f9d63be3
Rockefella's Grande Parlor,$$,False,,,Gay Bar,40.882108,-73.98894,3,,https://foursquare.com/v/rockefellas-grande-parlor/53668b7e498ef8d7529882fc
Grand Cru,$$$,False,6.35,68,New American Restaurant,40.8953876342,-73.9745920321,675,http://www.grandcruenglewood.com,https://foursquare.com/v/grand-cru/4a8df2c9f964a520851120e3
Negro Claro Lounge,$$$,False,,,Lounge,40.8623067931,-73.9202265502,651,,https://foursquare.com/v/negro-claro-lounge/4e61cca2d164ddd5e57fb5e1
Cafe Tabaco y Ron,$$$$,True,6.76,108,Lounge,40.8689989743,-73.9158174041,818,,https://foursquare.com/v/cafe-tabaco-y-ron/4ba56909f964a520710439e3
Blackstone Bar & Grill,$$,True,,,Bar,40.887171009,-73.9073720031,26,,https://foursquare.com/v/blackstone-bar--grill/53683f34498e6d121eeecbdf
Rory Dolan's,$$,True,7.96,377,Bar,40.9049215646,-73.8688032816,3860,,https://foursquare.com/v/rory-dolans/4ac7e99bf964a5208cba20e3
Giac's Crib,,False,,,Home (private),40.8728846544,-74.0828838593,990,,https://foursquare.com/v/giacs-crib/4c6f63cd34443704df24215f
Poitin Still,$$$,True,6.3,327,Pub,40.9036486325,-74.0422877396,3685,http://www.poitin-still.com,https://foursquare.com/v/poitin-still-hackensack-nj/4b6fa221f964a52088f82ce3
Hooters,$$,False,6.58,407,Wings Joint,40.9037749504,-74.0318683983,4804,http://www.hootersofphilly.com,https://foursquare.com/v/hooters/4ba01f4ff964a520cf5b37e3
The Cabana,,False,,,Home (private),40.8809680856,-74.0006327811,256,,https://foursquare.com/v/the-cabana/4e0c1deaaeb7af850d663110
The Assembly Steak House,$$$$,False,6.23,79,American Restaurant,40.8798729883,-73.9509487152,1027,http://www.assemblysteakhouse.com,https://foursquare.com/v/the-assembly-steak-house-englewood-cliffs-nj/4bfd50e1bf6576b0fa11adb8
Mexicali Live,,False,8.0,268,Rock Club,40.901582,-74.00494,2851,http://www.mexicalilive.com,https://foursquare.com/v/mexicali-live/457d668cf964a520233f1fe3
Club Cama with Special Guests...Beat Sheets,,False,,,Nightclub,40.865841,-73.961553,230,,https://foursquare.com/v/club-cama-with-special-guestsbeat-sheets-englewood-cliffs-nj/5174b057e4b049eeb012dc68
La Marina,,False,6.98,54,Other Nightlife,40.8689149188,-73.932167485,453,http://lamarinanyc.com,https://foursquare.com/v/la-marina/50034934e4b07b9576e76545
Abu Dhabi Hookah Lounge,$,True,,,Hookah Bar,40.8618066949,-73.9270065653,105,,https://foursquare.com/v/abu-dhabi-hookah-lounge/503040d3e4b07f473a3d5f1d
Tette Club,$$$,False,,,Nightclub,40.8651779047,-73.9188257386,515,,https://foursquare.com/v/tette-club/4f99f9cbe4b0c308b6dffff4
Beer Cave,$$,False,,,Brewery,40.8585633769,-73.8849563305,77,,https://foursquare.com/v/beer-cave/4f3ff714e4b0b019c6715253
Jolly Tinker,$$,True,6.17,75,Bar,40.8674836854,-73.8836126865,902,,https://foursquare.com/v/jolly-tinker/4b1712a8f964a520dbc123e3
Night Night,,False,,,Other Nightlife,40.8814263182,-73.8753266781,106,,https://foursquare.com/v/night-night/52833aa7498e582c7ef39f6d
Barcelona Restaurant & Bar,$$,False,5.55,59,Italian Restaurant,40.86855104,-74.10311975,482,http://www.barcelonasnj.com,https://foursquare.com/v/barcelona-restaurant--bar/4b563e31f964a5201a0728e3
Lazy Lannigan's,$$,True,7.24,275,Sports Bar,40.8980543333,-74.03994147,3447,http://www.lazylanigans.com,https://foursquare.com/v/lazy-lannigans-hackensack-nj/4b1c5844f964a5205e0624e3
Casa de Megan,$$$,True,,,Cocktail Bar,40.874991,-74.000878,8,,https://foursquare.com/v/casa-de-megan/4cf45dfbe942548140a97ac5
Bicycle Club,$$$,False,6.25,166,American Restaurant,40.8793880251,-73.9512370105,1437,http://www.thebicycleclub.com,https://foursquare.com/v/bicycle-club/4ab3d2b0f964a520a26e20e3
Opus Lounge,$$$,False,,,Lounge,40.8609533459,-73.9202857018,170,,https://foursquare.com/v/opus-lounge/5194e9bb50193eab827ac172
Corcho,$$,True,8.02,138,Wine Bar,40.8659190583,-73.927731514,1041,,https://foursquare.com/v/corcho/4c04307f187ec92803bab67b
Vacca Grill & Lounge,$$$,True,6.93,31,Lounge,40.8613622968,-73.9200370967,279,,https://foursquare.com/v/vacca-grill--lounge/52044ce6498e613a1930e231
El Quinto Centenario,$$,False,,,Caribbean Restaurant,40.8621223173,-73.9058849775,264,,https://foursquare.com/v/el-quinto-centenario/4bafc3fdf964a520021f3ce3
Rambling House,$$,True,8.34,348,Pub,40.8984107988,-73.8671723986,3452,http://ramblinghouse.com,https://foursquare.com/v/rambling-house/46212cb5f964a5208d451fe3
Papi Nice,$,False,,,Sports Bar,40.86571941,-73.8603845641,89,,https://foursquare.com/v/papi-nice/4de05ea9e4cd846e4088250d
Meadowlands Wine & Liquor,,False,,,Brewery,40.8531846001,-74.0879574027,29,,https://foursquare.com/v/meadowlands-wine--liquor/4ead948a9911d5c9515b10dd
Dp's Pub,$,False,7.43,161,Bar,40.8818571543,-74.1209019919,1083,,https://foursquare.com/v/dps-pub-garfield-nj/4d3b6300039eb60cc5d2f49c
Ed's Tavern,$$,True,7.32,192,Bar,40.8954216333,-74.0837619789,2854,,https://foursquare.com/v/eds-tavern/4b590345f964a5206a7828e3
Straphanger,$$,False,6.84,60,Bar,40.8941073277,-74.0443876037,857,,https://foursquare.com/v/straphanger/4c4911823013a59384d23ce2
Bolero Snort Warehouse,,False,,,Office,40.8604664913,-74.0291619301,15,,https://foursquare.com/v/bolero-snort-warehouse/501ac4ca90e732f5012093ce
Bogota Wine and Liquor,,False,,,Wine Bar,40.869126,-74.022045,4,,https://foursquare.com/v/bogota-wine-and-liquor/4f32759219836c91c7d9e1aa
GaGoPa Karaoke - 가고파 노래방,$$,False,7.11,31,Karaoke Bar,40.8518085954,-73.9699832411,267,,https://foursquare.com/v/gagopa-karaoke--%EA%B0%80%EA%B3%A0%ED%8C%8C-%EB%85%B8%EB%9E%98%EB%B0%A9/4c8860130f3c236a92a7f25c
Soho Nightclub,$$$,False,,,Nightclub,40.8523780525,-73.9698914086,349,,https://foursquare.com/v/soho-nightclub/4f69d656e4b0e8375cf81ccf
Arka Lounge,$$,True,7.18,106,Nightclub,40.857564,-73.932024,1259,http://www.arkalounge.com,https://foursquare.com/v/arka-lounge-new-york-ny/419fda80f964a520331e1fe3
Agua Roja Lounge & Restaurant,$$$,True,7.3,37,Lounge,40.8624350989,-73.9230051794,329,http://aguarojalounge.com,https://foursquare.com/v/agua-roja-lounge-restaurant-new-york-ny/4eea852993adad8125bdcb60
An Beal Bocht Cafe,$$,False,8.67,312,Bar,40.8872660433,-73.9049835703,4090,http://www.anbealbochtcafe.com,https://foursquare.com/v/an-beal-bocht-cafe-bronx-ny/3fd66200f964a5203ce31ee3
Monami Doscount Liquor,,False,,,Other Nightlife,40.8538572466,-73.8677121994,37,,https://foursquare.com/v/monami-doscount-liquor/4bc7bb8c8b7c9c74b51b37cf
gasolina lounge,$$,False,,,Bar,40.8638303619,-73.8649500116,94,,https://foursquare.com/v/gasolina-lounge/4f59b654e4b07f0bf5f9b004
ReBar,$,True,6.74,140,Lounge,40.8922029228,-74.0737201605,1706,,https://foursquare.com/v/rebar/4ba5a4f0f964a520f11839e3
The Harem,,False,6.44,62,Strip Club,40.8851483583,-74.0683737472,594,,https://foursquare.com/v/the-harem/4bdbbec23904a59308ff4b9e
Wide Awake Club,,False,,,Other Nightlife,40.8891284281,-74.0571469348,156,,https://foursquare.com/v/wide-awake-club/51ef6678498ea5a43666bdcb
Soo Karaoke,$$,False,,,Karaoke Bar,40.85311,-73.999974,42,,https://foursquare.com/v/soo-karaoke/4f1a3c5ae4b0f271e56d6ba6
マヨナカアリーナ,,False,,,Other Nightlife,40.8906365978,-74.0036058426,430,,https://foursquare.com/v/%E3%83%9E%E3%83%A8%E3%83%8A%E3%82%AB%E3%82%A2%E3%83%AA%E3%83%BC%E3%83%8A/511838f9f31c21dd30049ab5
